Track ID,Track name,Artist name,Popularity score,Release year,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4BeoN5v8iRmM1JW1Aln0H3,UNDERNEATH,Phix,59,2024,New Releases,0.533,0.92,3,-4.239,0,0.121,0.109,0.0,0.592,0.607,155.017,4
3FZ7pRHmTda6FqoTIpo4dN,New Transients,Rosentwig,4,2018,New Releases,0.69,0.666,9,-8.988,0,0.0315,0.0393,0.00519,0.0841,0.575,109.98,4
3pRCHHfwYNVCOjWSrkGNw1,Burning Down the House,Paramore,61,2024,New Releases,0.744,0.768,0,-6.054,1,0.0469,0.0194,0.00757,0.0979,0.39,106.006,4
1s7Q8aDLaireoASKNEeJ1T,"See You Again (From ""Fast & Furious 7"")",The New Releases,6,2016,New Releases,0.564,0.485,10,-9.328,1,0.11,0.337,0.0,0.107,0.328,159.774,4
2cuI3ZFQxp92Lw2Udgwucw,Still Here,Lecrae,55,2024,New Releases,0.636,0.695,6,-6.579,0,0.0447,0.00303,0.0,0.259,0.112,133.018,4
5SHu8JyS4YJFNVJ6MGaTja,1 2 3 4 5 I love you,The Bottom Blues,36,2010,New Releases,0.738,0.744,11,-6.139,0,0.0374,0.0699,0.0,0.0909,0.967,117.97,4
5eCi0WNi38vEKZeXr5kEAs,NERVOUS,Daughtry,51,2024,New Releases,0.315,0.651,5,-7.19,0,0.0394,0.137,0.000343,0.183,0.0968,78.163,4
4fpwYavktFK31XJXEvpbs5,Kompa MMS,Richie and Gracia Delva,4,2012,New Releases,0.785,0.704,7,-10.259,1,0.0762,0.34,0.0,0.101,0.662,98.023,4
5jmm86CXZhUwTGtydyIkfF,numb,Abe Parker,57,2024,New Releases,0.638,0.539,11,-4.778,1,0.0344,0.742,0.0,0.297,0.415,129.924,4
5pxlpLk7laSwucCCBBCvhT,Zanmi,Nickenson Prud'Homme,2,2012,New Releases,0.689,0.638,3,-11.848,1,0.0422,0.809,0.000246,0.15,0.92,167.98,4
5HTKh2OhsOTan44KFA4VOM,Deep,Kehlani,55,2024,New Releases,0.508,0.666,1,-5.425,1,0.0636,0.0021,0.000818,0.282,0.322,149.596,4
1rRSQIfUx5FX8eOvP7eRT4,Popular New Releases,New Releases,4,2023,New Releases,0.79,0.229,11,-11.231,1,0.0784,0.62,0.882,0.296,0.361,143.625,4
7rOk84mV0kJ0H9wsBDDDUY,Change Your Mind,Knox,54,2024,New Releases,0.624,0.749,1,-5.108,1,0.0449,0.183,0.0,0.184,0.643,99.998,4
0Bfi8JHZTfe5p6HYrk2nso,2023 New Music,New Releases,3,2023,New Releases,0.725,0.53,4,-13.651,0,0.176,0.399,0.068,0.311,0.601,76.612,4
0KumL9pDXKGH98hnrpxrSN,Finally Over,Shaboozey,52,2024,New Releases,0.542,0.607,9,-8.96,1,0.0504,0.509,0.00109,0.349,0.179,108.098,4
2ncR5x1L3TNLsRLzRYwbi7,New Music Albums,New Releases,2,2023,New Releases,0.62,0.559,7,-4.848,1,0.0508,0.625,0.944,0.209,0.667,74.692,4
67NdAOAn0EzvyrMYduzzZm,REBEL,Anne Wilson,49,2024,New Releases,0.393,0.818,1,-5.776,0,0.0752,0.00709,0.0,0.274,0.371,198.133,4
2DyiJ6khVHSeuaCrb2Z9oQ,Toys - Radio Mix,Giuseppe Ottaviani,11,2012,New Releases,0.594,0.716,9,-7.602,0,0.0269,1.67e-05,0.0296,0.477,0.463,129.972,4
1ChWLfZppNHE101YA0QFgT,Rise Up,Selah,46,2024,New Releases,0.609,0.723,0,-6.888,1,0.054,0.151,0.0,0.151,0.485,169.966,4
1oy6a9sMQvHorVZg65g4AS,Finally - Radio Edit,CeCe Peniston,7,2011,New Releases,0.587,0.826,11,-3.165,0,0.165,0.00737,0.0,0.716,0.636,127.992,4
3ZC8vUJMOpy6wsCamiLyGl,Wild Wild West,Rvshvd,50,2024,New Releases,0.479,0.781,7,-5.644,1,0.0453,0.00491,0.0,0.323,0.564,159.899,4
0YCyVwfMLhvRNr2WoQJ2MH,Fight The Fire - Original Mix Edit,Andy Moor,6,2011,New Releases,0.516,0.943,6,-5.698,0,0.187,0.00685,0.0692,0.309,0.186,132.026,4
1mWwtzS4kByon7itf7TGQe,The Blue-Eyed Devil,Highly Suspect,52,2024,New Releases,0.266,0.902,4,-3.877,0,0.0621,0.000763,0.0159,0.118,0.231,128.959,3
5dFWn3nRNbOmhTiERQpEWQ,D# Fat - Original Mix,Armin van Buuren,2,2013,New Releases,0.649,0.895,5,-4.057,0,0.042,0.00381,0.871,0.108,0.207,127.977,4
5GU8vng4WQCrb2xe2oEzxN,errybody know,Futuristic,46,2024,New Releases,0.847,0.539,1,-8.345,1,0.372,0.32,0.0,0.305,0.532,140.069,4
2CHvjyIZ8khtm2ipjz0vmq,Use Somebody - Armin van Buuren Rework,Laura Jansen,8,2011,New Releases,0.386,0.838,2,-4.825,1,0.0333,0.0151,0.844,0.0826,0.046,135.989,4
